age,sex,income_family,province,education,religious,marital_status,language_knowledge,employed
38,Female,"Less than $25,000",Quebec,College or certificate,Yes,Single,Both English and French,Yes
35,Male,"$50,000 to $74,999",Manitoba,High school diploma,Yes,Single,English only,Yes
58,Female,"$25,000 to $49,999",Ontario,College or certificate,Yes,Has a partner,English only,No
64,Female,"$25,000 to $49,999",Ontario,College or certificate,No,Has a partner,Both English and French,No
25,Male,"$125,000 and more",Manitoba,Bachelor's degree,Yes,Single,English only,Yes
49,Female,"$50,000 to $74,999",Ontario,College or certificate,Yes,Single,Both English and French,Yes
51,Female,"$75,000 to $99,999",Quebec,College or certificate,Yes,Has a partner,Both English and French,No
77,Female,"$25,000 to $49,999",Nova Scotia,Less than high school,Yes,Single,English only,No
54,Female,"$125,000 and more",Ontario,College or certificate,Yes,Has a partner,English only,Yes
34,Female,"$75,000 to $99,999",Alberta,College or certificate,Yes,Has a partner,English only,Yes
43,Male,"$100,000 to $ 124,999",Nova Scotia,College or certificate,Yes,Has a partner,English only,Yes
78,Female,"$125,000 and more",Ontario,Above bachelor,Yes,Has a partner,English only,Yes
61,Female,"Less than $25,000",Ontario,Above bachelor,Yes,Has a partner,English only,Yes
69,Male,"Less than $25,000",Ontario,College or certificate,No,Single,English only,Yes
64,Male,"$125,000 and more",Alberta,High school diploma,Yes,Has a partner,English only,Yes
75,Female,"$25,000 to $49,999",Ontario,College or certificate,Yes,Single,English only,No
44,Male,"$100,000 to $ 124,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes
49,Female,"$50,000 to $74,999",Ontario,College or certificate,Yes,Has a partner,English only,No
34,Male,"$100,000 to $ 124,999",British Columbia,High school diploma,Yes,Has a partner,English only,Yes
80,Female,"$25,000 to $49,999",Ontario,College or certificate,Yes,Single,English only,No
61,Male,"Less than $25,000",Ontario,Less than high school,No,Has a partner,English only,No
29,Female,"$75,000 to $99,999",Quebec,High school diploma,No,Has a partner,Both English and French,Yes
62,Female,"$125,000 and more",Ontario,High school diploma,Yes,Has a partner,English only,No
30,Female,"$75,000 to $99,999",Ontario,High school diploma,Yes,Single,English only,Yes
61,Male,"$100,000 to $ 124,999",Quebec,College or certificate,No,Has a partner,Both English and French,Yes
69,Female,"$25,000 to $49,999",Prince Edward Island,College or certificate,Yes,Has a partner,English only,No
59,Male,"$75,000 to $99,999",Prince Edward Island,Less than high school,Yes,Has a partner,English only,Yes
68,Female,"$25,000 to $49,999",Alberta,College or certificate,Yes,Single,English only,No
53,Male,"Less than $25,000",British Columbia,Less than high school,Yes,Single,English only,No
36,Female,"$125,000 and more",Alberta,Above bachelor,Yes,Has a partner,English only,Yes
74,Male,"$25,000 to $49,999",Ontario,Less than high school,Yes,Has a partner,English only,No
29,Female,"$125,000 and more",Alberta,College or certificate,Yes,Single,English only,Yes
67,Female,"Less than $25,000",Ontario,High school diploma,Yes,Single,English only,No
21,Male,"Less than $25,000",Saskatchewan,High school diploma,Yes,Single,English only,Yes
71,Female,"$75,000 to $99,999",Ontario,College or certificate,Yes,Single,Both English and French,No
22,Female,"Less than $25,000",Ontario,College or certificate,No,Single,English only,Yes
15,Male,"Less than $25,000",Nova Scotia,Less than high school,Yes,Single,English only,Yes
70,Female,"$25,000 to $49,999",Alberta,High school diploma,Yes,Single,English only,No
62,Male,"$50,000 to $74,999",Quebec,Less than high school,Yes,Single,Both English and French,Yes
58,Male,"$75,000 to $99,999",Prince Edward Island,College or certificate,Yes,Has a partner,English only,Yes
29,Male,"$25,000 to $49,999",Ontario,College or certificate,Yes,Single,Both English and French,Yes
46,Male,"$100,000 to $ 124,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes
36,Male,"$125,000 and more",Ontario,Bachelor's degree,No,Has a partner,English only,Yes
56,Male,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,Both English and French,Yes
46,Female,"$50,000 to $74,999",Ontario,College or certificate,Yes,Has a partner,Both English and French,Yes
52,Male,"$50,000 to $74,999",Quebec,High school diploma,Yes,Single,Both English and French,Yes
34,Female,"$125,000 and more",Nova Scotia,College or certificate,Yes,Has a partner,English only,No
46,Male,"Less than $25,000",Ontario,High school diploma,No,Single,English only,Yes
62,Male,"$125,000 and more",Quebec,College or certificate,Yes,Has a partner,French only,Yes
60,Female,"$50,000 to $74,999",British Columbia,College or certificate,Yes,Has a partner,English only,Yes
80,Male,"$75,000 to $99,999",Manitoba,High school diploma,Yes,Single,Both English and French,No
16,Female,"$125,000 and more",Quebec,Less than high school,Yes,Single,Both English and French,No
80,Female,"$25,000 to $49,999",Ontario,Bachelor's degree,Yes,Single,English only,No
79,Female,"$25,000 to $49,999",Alberta,Bachelor's degree,Yes,Has a partner,English only,No
66,Female,"$50,000 to $74,999",British Columbia,College or certificate,Yes,Has a partner,English only,No
79,Male,"$25,000 to $49,999",Quebec,Above bachelor,Yes,Single,Both English and French,No
71,Female,"$25,000 to $49,999",Alberta,High school diploma,Yes,Single,English only,No
76,Female,"$25,000 to $49,999",Saskatchewan,College or certificate,Yes,Has a partner,English only,Yes
27,Female,"$125,000 and more",Nova Scotia,Above bachelor,No,Has a partner,English only,Yes
77,Male,"$75,000 to $99,999",Ontario,Above bachelor,Yes,Has a partner,English only,No
79,Male,"$100,000 to $ 124,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes
61,Male,"$125,000 and more",British Columbia,Bachelor's degree,Yes,Has a partner,English only,Yes
56,Male,"$25,000 to $49,999",Saskatchewan,High school diploma,Yes,Single,English only,Yes
58,Female,"$50,000 to $74,999",Ontario,College or certificate,Yes,Single,English only,Yes
36,Male,"$125,000 and more",Ontario,College or certificate,Yes,Has a partner,Both English and French,Yes
57,Male,"$75,000 to $99,999",Ontario,College or certificate,Yes,Has a partner,Both English and French,No
38,Male,"$50,000 to $74,999",British Columbia,High school diploma,Yes,Has a partner,English only,Yes
62,Male,"$75,000 to $99,999",New Brunswick,Less than high school,Yes,Has a partner,English only,Yes
48,Female,"$75,000 to $99,999",Prince Edward Island,College or certificate,Yes,Has a partner,English only,Yes
60,Male,"$100,000 to $ 124,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes
68,Female,"$25,000 to $49,999",British Columbia,Less than high school,Yes,Single,English only,Yes
49,Female,"Less than $25,000",Ontario,High school diploma,Yes,Single,English only,No
39,Male,"$25,000 to $49,999",Prince Edward Island,High school diploma,No,Has a partner,English only,Yes
70,Female,"Less than $25,000",Newfoundland and Labrador,High school diploma,Yes,Single,English only,No
18,Male,"$125,000 and more",Quebec,Less than high school,Yes,Single,French only,Yes
16,Male,"$25,000 to $49,999",British Columbia,Less than high school,Yes,Single,English only,No
31,Female,"$100,000 to $ 124,999",Alberta,Bachelor's degree,Yes,Has a partner,English only,Yes
49,Female,"$125,000 and more",Ontario,College or certificate,Yes,Has a partner,English only,Yes
16,Female,"$75,000 to $99,999",Saskatchewan,Less than high school,Yes,Single,English only,No
73,Female,"$25,000 to $49,999",New Brunswick,High school diploma,Yes,Has a partner,Both English and French,No
57,Male,"$25,000 to $49,999",Nova Scotia,College or certificate,Yes,Single,English only,No
39,Male,"$100,000 to $ 124,999",British Columbia,College or certificate,No,Has a partner,English only,Yes
31,Male,"$75,000 to $99,999",British Columbia,Bachelor's degree,No,Single,Both English and French,Yes
73,Female,"$25,000 to $49,999",Alberta,College or certificate,Yes,Has a partner,English only,No
49,Male,"$125,000 and more",British Columbia,College or certificate,No,Has a partner,English only,Yes
31,Male,"$125,000 and more",Nova Scotia,High school diploma,No,Single,English only,Yes
28,Female,"$125,000 and more",Ontario,College or certificate,Yes,Has a partner,English only,Yes
63,Female,"$25,000 to $49,999",Newfoundland and Labrador,High school diploma,Yes,Has a partner,English only,No
68,Female,"$25,000 to $49,999",British Columbia,College or certificate,Yes,Single,Both English and French,No
64,Female,"$125,000 and more",Quebec,Bachelor's degree,Yes,Has a partner,Both English and French,No
24,Male,"$25,000 to $49,999",Alberta,High school diploma,No,Single,English only,Yes
72,Male,"$125,000 and more",Saskatchewan,Above bachelor,Yes,Has a partner,English only,No
25,Male,"$50,000 to $74,999",Quebec,Above bachelor,Yes,Single,Both English and French,Yes
52,Female,"$125,000 and more",British Columbia,College or certificate,Yes,Has a partner,English only,No
80,Male,"$75,000 to $99,999",Prince Edward Island,Above bachelor,Yes,Has a partner,English only,No
66,Female,"$25,000 to $49,999",Quebec,College or certificate,Yes,Single,French only,Yes
65,Female,"$50,000 to $74,999",Quebec,College or certificate,Yes,Single,French only,No
77,Female,"$75,000 to $99,999",Nova Scotia,High school diploma,No,Single,English only,No
58,Male,"Less than $25,000",Prince Edward Island,Less than high school,Yes,Single,English only,Yes
35,Male,"$125,000 and more",Ontario,College or certificate,No,Has a partner,English only,Yes
59,Female,"$50,000 to $74,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,No
49,Female,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,Both English and French,Yes
41,Male,"$125,000 and more",Ontario,Above bachelor,No,Has a partner,English only,Yes
72,Male,"$100,000 to $ 124,999",British Columbia,Above bachelor,No,Has a partner,English only,No
48,Female,"$50,000 to $74,999",British Columbia,High school diploma,Yes,Single,English only,Yes
53,Female,"$75,000 to $99,999",British Columbia,College or certificate,No,Single,English only,Yes
42,Female,"$125,000 and more",Alberta,Above bachelor,Yes,Has a partner,English only,Yes
52,Female,"$125,000 and more",Ontario,College or certificate,Yes,Has a partner,English only,Yes
63,Female,"$125,000 and more",Ontario,High school diploma,Yes,Has a partner,English only,Yes
48,Female,"$50,000 to $74,999",Ontario,Bachelor's degree,Yes,Single,Both English and French,Yes
80,Female,"Less than $25,000",Saskatchewan,Less than high school,Yes,Single,English only,No
66,Female,"$25,000 to $49,999",Quebec,Less than high school,Yes,Has a partner,French only,No
77,Female,"Less than $25,000",Quebec,Less than high school,Yes,Single,French only,No
73,Male,"$125,000 and more",Newfoundland and Labrador,Above bachelor,No,Single,English only,No
71,Male,"$75,000 to $99,999",Nova Scotia,Bachelor's degree,Yes,Has a partner,English only,Yes
74,Male,"$25,000 to $49,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,No
24,Male,"Less than $25,000",Ontario,High school diploma,No,Single,English only,Yes
30,Female,"$25,000 to $49,999",Nova Scotia,College or certificate,Yes,Single,English only,Yes
52,Female,"$75,000 to $99,999",Saskatchewan,College or certificate,Yes,Has a partner,English only,Yes
52,Male,"$25,000 to $49,999",Quebec,Bachelor's degree,No,Single,Both English and French,Yes
54,Male,"$100,000 to $ 124,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes
27,Female,"$50,000 to $74,999",Alberta,Above bachelor,Yes,Single,Both English and French,Yes
56,Male,"$25,000 to $49,999",British Columbia,Above bachelor,Yes,Single,English only,Yes
79,Female,"$25,000 to $49,999",British Columbia,College or certificate,Yes,Single,English only,No
42,Female,"$125,000 and more",Saskatchewan,College or certificate,Yes,Has a partner,English only,Yes
63,Male,"$100,000 to $ 124,999",Ontario,Bachelor's degree,Yes,Single,English only,Yes
33,Female,"$25,000 to $49,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes
70,Female,"Less than $25,000",Ontario,Bachelor's degree,Yes,Has a partner,Both English and French,No
30,Male,"$50,000 to $74,999",Ontario,Bachelor's degree,Yes,Single,English only,Yes
76,Female,"$25,000 to $49,999",Ontario,Less than high school,Yes,Single,English only,No
42,Female,"$125,000 and more",Manitoba,High school diploma,Yes,Has a partner,English only,Yes
47,Female,"$50,000 to $74,999",New Brunswick,High school diploma,Yes,Has a partner,English only,Yes
27,Male,"$25,000 to $49,999",British Columbia,High school diploma,No,Single,English only,Yes
36,Male,"$125,000 and more",Quebec,College or certificate,Yes,Has a partner,Both English and French,Yes
40,Female,"$25,000 to $49,999",British Columbia,High school diploma,Yes,Single,English only,Yes
67,Male,"$75,000 to $99,999",Ontario,High school diploma,Yes,Has a partner,English only,Yes
56,Female,"$50,000 to $74,999",Ontario,Above bachelor,Yes,Single,English only,Yes
48,Female,"$50,000 to $74,999",British Columbia,High school diploma,Yes,Single,Both English and French,Yes
38,Male,"$50,000 to $74,999",Ontario,Bachelor's degree,Yes,Single,English only,Yes
49,Female,"$125,000 and more",British Columbia,College or certificate,No,Has a partner,English only,Yes
32,Female,"$100,000 to $ 124,999",Saskatchewan,Bachelor's degree,Yes,Has a partner,English only,Yes
26,Female,"$25,000 to $49,999",Ontario,Above bachelor,Yes,Single,Both English and French,Yes
71,Male,"$25,000 to $49,999",Saskatchewan,Less than high school,Yes,Single,English only,No
35,Male,"$100,000 to $ 124,999",Nova Scotia,College or certificate,Yes,Has a partner,English only,Yes
16,Male,"$100,000 to $ 124,999",Newfoundland and Labrador,Less than high school,Yes,Single,Both English and French,Yes
63,Female,"$75,000 to $99,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes
17,Male,"$100,000 to $ 124,999",Ontario,Less than high school,Yes,Single,English only,Yes
58,Female,"$50,000 to $74,999",Quebec,College or certificate,Yes,Single,French only,Yes
45,Female,"$125,000 and more",Alberta,Above bachelor,Yes,Has a partner,English only,Yes
38,Male,"$125,000 and more",New Brunswick,Bachelor's degree,No,Has a partner,Both English and French,Yes
60,Female,"$100,000 to $ 124,999",Ontario,High school diploma,Yes,Has a partner,English only,Yes
61,Male,"Less than $25,000",Quebec,Less than high school,Yes,Single,French only,Yes
39,Male,"$100,000 to $ 124,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes
53,Female,"$75,000 to $99,999",Manitoba,High school diploma,Yes,Has a partner,English only,Yes
47,Male,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes
56,Male,"$125,000 and more",Alberta,Above bachelor,Yes,Has a partner,English only,Yes
64,Female,"$25,000 to $49,999",Ontario,High school diploma,Yes,Single,English only,No
53,Male,"Less than $25,000",Nova Scotia,High school diploma,Yes,Single,English only,No
71,Female,"$100,000 to $ 124,999",Ontario,College or certificate,Yes,Has a partner,English only,No
55,Male,"$125,000 and more",Ontario,High school diploma,Yes,Has a partner,English only,No
50,Male,"$125,000 and more",New Brunswick,High school diploma,Yes,Has a partner,English only,Yes
55,Male,"$75,000 to $99,999",Nova Scotia,Bachelor's degree,Yes,Single,English only,Yes
60,Female,"$25,000 to $49,999",Manitoba,Less than high school,No,Single,English only,Yes
66,Male,"Less than $25,000",Alberta,College or certificate,Yes,Single,English only,Yes
59,Male,"$125,000 and more",Alberta,High school diploma,Yes,Has a partner,English only,Yes
48,Male,"$125,000 and more",Nova Scotia,College or certificate,Yes,Has a partner,English only,Yes
46,Female,"$100,000 to $ 124,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes
54,Female,"$50,000 to $74,999",Nova Scotia,College or certificate,Yes,Has a partner,English only,Yes
53,Female,"$125,000 and more",Quebec,Bachelor's degree,Yes,Has a partner,French only,Yes
33,Male,"$75,000 to $99,999",Quebec,College or certificate,Yes,Has a partner,Both English and French,Yes
43,Male,"$75,000 to $99,999",Quebec,Less than high school,Yes,Has a partner,French only,Yes
70,Male,"$75,000 to $99,999",Quebec,College or certificate,Yes,Has a partner,Both English and French,No
57,Female,"$25,000 to $49,999",Quebec,Bachelor's degree,Yes,Single,Both English and French,Yes
20,Male,"$100,000 to $ 124,999",Prince Edward Island,High school diploma,No,Single,English only,Yes
27,Female,"$50,000 to $74,999",Nova Scotia,Above bachelor,Yes,Has a partner,English only,Yes
44,Female,"Less than $25,000",British Columbia,Bachelor's degree,Yes,Single,English only,No
50,Female,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes
69,Female,"$100,000 to $ 124,999",Newfoundland and Labrador,High school diploma,Yes,Has a partner,English only,No
75,Male,"$25,000 to $49,999",Alberta,College or certificate,Yes,Has a partner,English only,No
75,Female,"$25,000 to $49,999",Ontario,Less than high school,Yes,Has a partner,Both English and French,No
28,Male,"$25,000 to $49,999",Quebec,College or certificate,No,Single,Both English and French,Yes
58,Male,"$25,000 to $49,999",Quebec,Bachelor's degree,Yes,Single,French only,Yes
70,Male,"$25,000 to $49,999",Quebec,Less than high school,Yes,Has a partner,French only,No
36,Female,"$125,000 and more",Manitoba,College or certificate,Yes,Has a partner,English only,Yes
69,Male,"$50,000 to $74,999",Quebec,Less than high school,Yes,Has a partner,Both English and French,No
36,Female,"$125,000 and more",Quebec,Bachelor's degree,Yes,Has a partner,French only,Yes
34,Female,"$25,000 to $49,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes
55,Male,"$100,000 to $ 124,999",Nova Scotia,High school diploma,Yes,Has a partner,English only,No
64,Male,"$75,000 to $99,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes
57,Female,"$100,000 to $ 124,999",British Columbia,High school diploma,Yes,Has a partner,English only,Yes
47,Female,"$50,000 to $74,999",Newfoundland and Labrador,College or certificate,Yes,Single,English only,Yes
18,Male,"$25,000 to $49,999",Quebec,Less than high school,Yes,Single,Both English and French,No
44,Female,"$75,000 to $99,999",British Columbia,Bachelor's degree,No,Single,English only,Yes
60,Male,"$125,000 and more",Nova Scotia,Above bachelor,Yes,Single,Both English and French,Yes
30,Male,"Less than $25,000",Quebec,College or certificate,Yes,Has a partner,French only,Yes
21,Female,"Less than $25,000",Ontario,High school diploma,Yes,Single,English only,Yes
55,Female,"$75,000 to $99,999",Alberta,College or certificate,Yes,Has a partner,English only,Yes
28,Female,"$50,000 to $74,999",New Brunswick,College or certificate,Yes,Has a partner,English only,Yes
51,Male,"$50,000 to $74,999",Prince Edward Island,College or certificate,Yes,Has a partner,English only,No
62,Male,"$125,000 and more",British Columbia,Bachelor's degree,No,Has a partner,English only,Yes
59,Female,"Less than $25,000",Quebec,College or certificate,Yes,Single,French only,No
49,Male,"$125,000 and more",British Columbia,Above bachelor,Yes,Has a partner,English only,Yes
57,Female,"Less than $25,000",Manitoba,College or certificate,Yes,Single,English only,No
41,Female,"$100,000 to $ 124,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes
30,Male,"$50,000 to $74,999",Ontario,Bachelor's degree,No,Has a partner,English only,Yes
60,Male,"$125,000 and more",Quebec,College or certificate,Yes,Has a partner,French only,Yes
69,Female,"$100,000 to $ 124,999",British Columbia,Bachelor's degree,Yes,Has a partner,English only,No
47,Male,"$50,000 to $74,999",British Columbia,High school diploma,No,Single,English only,Yes
36,Male,"Less than $25,000",Nova Scotia,Bachelor's degree,No,Single,Both English and French,Yes
52,Male,"$75,000 to $99,999",Ontario,High school diploma,Yes,Single,English only,Yes
42,Female,"$125,000 and more",Manitoba,College or certificate,Yes,Has a partner,English only,Yes
80,Female,"Less than $25,000",Quebec,Less than high school,Yes,Single,French only,No
48,Female,"$125,000 and more",Ontario,High school diploma,Yes,Has a partner,English only,Yes
80,Male,"$50,000 to $74,999",Ontario,College or certificate,Yes,Has a partner,English only,No
80,Male,"$25,000 to $49,999",Ontario,Bachelor's degree,Yes,Single,English only,No
57,Male,"$125,000 and more",Quebec,High school diploma,Yes,Has a partner,French only,Yes
58,Female,"Less than $25,000",Quebec,High school diploma,Yes,Single,Both English and French,Yes
68,Male,"$25,000 to $49,999",Ontario,High school diploma,Yes,Single,English only,Yes
78,Female,"$50,000 to $74,999",Manitoba,College or certificate,Yes,Single,English only,No
27,Female,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Has a partner,Both English and French,Yes
60,Female,"$125,000 and more",Quebec,College or certificate,Yes,Has a partner,Both English and French,Yes
62,Female,"$100,000 to $ 124,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes
74,Male,"$25,000 to $49,999",Quebec,Less than high school,Yes,Has a partner,French only,No
73,Male,"$25,000 to $49,999",Nova Scotia,Less than high school,Yes,Has a partner,English only,No
53,Male,"$50,000 to $74,999",New Brunswick,College or certificate,Yes,Single,English only,Yes
77,Female,"$25,000 to $49,999",Ontario,College or certificate,Yes,Has a partner,English only,No
24,Female,"Less than $25,000",Nova Scotia,High school diploma,No,Single,English only,Yes
30,Male,"$125,000 and more",Manitoba,College or certificate,Yes,Has a partner,English only,Yes
80,Female,"$25,000 to $49,999",Quebec,High school diploma,Yes,Single,French only,No
70,Female,"$125,000 and more",New Brunswick,College or certificate,Yes,Single,English only,No
80,Female,"$25,000 to $49,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,No
50,Male,"Less than $25,000",British Columbia,Less than high school,Yes,Single,English only,Yes
76,Female,"$25,000 to $49,999",Ontario,Less than high school,Yes,Has a partner,Both English and French,No
69,Male,"$125,000 and more",Alberta,College or certificate,Yes,Has a partner,English only,No
67,Male,"$50,000 to $74,999",British Columbia,Less than high school,No,Single,English only,Yes
47,Female,"$100,000 to $ 124,999",Saskatchewan,College or certificate,Yes,Has a partner,English only,Yes
50,Female,"Less than $25,000",Ontario,Less than high school,Yes,Single,English only,No
65,Female,"Less than $25,000",Ontario,High school diploma,Yes,Single,Both English and French,No
45,Female,"Less than $25,000",Quebec,College or certificate,Yes,Single,French only,No
24,Male,"Less than $25,000",New Brunswick,High school diploma,Yes,Single,English only,Yes
69,Male,"Less than $25,000",British Columbia,High school diploma,No,Single,English only,No
37,Male,"$75,000 to $99,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes
37,Female,"$100,000 to $ 124,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes
53,Male,"$100,000 to $ 124,999",Nova Scotia,Bachelor's degree,No,Single,English only,Yes
60,Male,"$125,000 and more",Ontario,Above bachelor,Yes,Has a partner,English only,Yes
63,Male,"Less than $25,000",Ontario,Bachelor's degree,Yes,Single,English only,No
37,Male,"Less than $25,000",Quebec,Bachelor's degree,Yes,Single,Both English and French,Yes
43,Female,"$125,000 and more",British Columbia,Above bachelor,Yes,Has a partner,Both English and French,Yes
55,Female,"$25,000 to $49,999",Manitoba,High school diploma,Yes,Has a partner,English only,No
66,Female,"$25,000 to $49,999",Nova Scotia,College or certificate,Yes,Single,English only,No
43,Male,"$75,000 to $99,999",Manitoba,College or certificate,Yes,Has a partner,English only,Yes
26,Female,"$50,000 to $74,999",Ontario,High school diploma,Yes,Single,English only,Yes
18,Female,"$125,000 and more",Ontario,High school diploma,No,Single,English only,Yes
71,Male,"$50,000 to $74,999",Ontario,High school diploma,Yes,Has a partner,English only,Yes
22,Male,"$75,000 to $99,999",Newfoundland and Labrador,High school diploma,Yes,Has a partner,English only,Yes
61,Male,"$125,000 and more",Quebec,Bachelor's degree,Yes,Has a partner,Both English and French,Yes
41,Male,"$100,000 to $ 124,999",Saskatchewan,College or certificate,Yes,Has a partner,English only,Yes
18,Female,"Less than $25,000",Saskatchewan,Less than high school,Yes,Single,English only,Yes
63,Female,"Less than $25,000",Saskatchewan,High school diploma,No,Single,English only,Yes
33,Female,"$50,000 to $74,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes
80,Female,"$25,000 to $49,999",Ontario,Less than high school,Yes,Has a partner,French only,No
68,Female,"$50,000 to $74,999",Ontario,Less than high school,Yes,Has a partner,English only,No
32,Male,"$75,000 to $99,999",Ontario,College or certificate,No,Has a partner,English only,Yes
67,Female,"$125,000 and more",British Columbia,High school diploma,No,Has a partner,Both English and French,No
80,Male,"Less than $25,000",Quebec,Less than high school,Yes,Single,French only,No
49,Female,"$125,000 and more",New Brunswick,College or certificate,Yes,Has a partner,English only,Yes
80,Female,"$25,000 to $49,999",Prince Edward Island,High school diploma,Yes,Single,English only,No
57,Male,"$25,000 to $49,999",Quebec,High school diploma,Yes,Single,French only,Yes
58,Female,"$125,000 and more",British Columbia,High school diploma,No,Has a partner,English only,Yes
46,Female,"$125,000 and more",Alberta,College or certificate,No,Has a partner,English only,Yes
52,Male,"$125,000 and more",British Columbia,Above bachelor,Yes,Has a partner,English only,Yes
80,Male,"$50,000 to $74,999",Manitoba,High school diploma,Yes,Single,English only,No
36,Male,"$25,000 to $49,999",Ontario,Less than high school,No,Single,English only,Yes
54,Male,"$125,000 and more",Manitoba,Bachelor's degree,Yes,Has a partner,English only,Yes
79,Female,"$50,000 to $74,999",Ontario,High school diploma,Yes,Has a partner,English only,No
28,Male,"$125,000 and more",Alberta,Above bachelor,No,Has a partner,English only,No
56,Female,"Less than $25,000",Manitoba,Less than high school,Yes,Single,English only,Yes
31,Female,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes
26,Female,"$75,000 to $99,999",Alberta,College or certificate,Yes,Has a partner,English only,Yes
61,Male,"$125,000 and more",Quebec,College or certificate,Yes,Has a partner,French only,Yes
27,Male,"$100,000 to $ 124,999",Alberta,High school diploma,Yes,Single,English only,Yes
28,Female,"Less than $25,000",Ontario,Less than high school,Yes,Single,English only,No
26,Female,"$100,000 to $ 124,999",Manitoba,College or certificate,Yes,Has a partner,English only,Yes
70,Female,"Less than $25,000",Prince Edward Island,College or certificate,Yes,Single,English only,No
52,Male,"Less than $25,000",New Brunswick,High school diploma,Yes,Single,English only,Yes
59,Male,"$125,000 and more",Alberta,College or certificate,Yes,Has a partner,English only,Yes
16,Male,"$25,000 to $49,999",Saskatchewan,Less than high school,Yes,Single,English only,Yes
39,Male,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,Both English and French,Yes
69,Female,"$125,000 and more",Ontario,High school diploma,Yes,Has a partner,English only,No
80,Male,"$25,000 to $49,999",Quebec,Less than high school,Yes,Has a partner,French only,Yes
54,Female,"Less than $25,000",Prince Edward Island,Less than high school,Yes,Single,English only,Yes
66,Male,"Less than $25,000",Ontario,Less than high school,Yes,Single,English only,No
23,Female,"$25,000 to $49,999",Quebec,Less than high school,No,Has a partner,French only,Yes
26,Female,"$50,000 to $74,999",Prince Edward Island,High school diploma,Yes,Has a partner,English only,Yes
36,Female,"$25,000 to $49,999",Ontario,College or certificate,Yes,Single,English only,Yes
48,Female,"$125,000 and more",Ontario,College or certificate,Yes,Has a partner,Both English and French,Yes
39,Female,"$125,000 and more",New Brunswick,Bachelor's degree,No,Has a partner,Both English and French,Yes
32,Male,"$100,000 to $ 124,999",Saskatchewan,Above bachelor,Yes,Single,English only,Yes
71,Male,"$25,000 to $49,999",Quebec,High school diploma,Yes,Single,French only,No
41,Male,"$50,000 to $74,999",Ontario,High school diploma,Yes,Has a partner,English only,Yes
66,Female,"$50,000 to $74,999",British Columbia,College or certificate,Yes,Single,English only,No
37,Male,"$75,000 to $99,999",Quebec,College or certificate,Yes,Has a partner,Both English and French,Yes
57,Female,"Less than $25,000",Nova Scotia,College or certificate,Yes,Single,English only,Yes
46,Male,"$125,000 and more",Quebec,Above bachelor,No,Has a partner,English only,Yes
70,Male,"$25,000 to $49,999",Quebec,College or certificate,Yes,Has a partner,English only,Yes
41,Male,"$125,000 and more",Prince Edward Island,Bachelor's degree,Yes,Has a partner,English only,Yes
79,Female,"$50,000 to $74,999",Ontario,Bachelor's degree,Yes,Single,English only,No
60,Male,"Less than $25,000",Quebec,High school diploma,No,Single,Both English and French,No
60,Male,"$25,000 to $49,999",Quebec,Less than high school,Yes,Single,French only,Yes
71,Male,"$25,000 to $49,999",Newfoundland and Labrador,Less than high school,Yes,Has a partner,English only,No
22,Female,"$125,000 and more",British Columbia,High school diploma,Yes,Single,English only,Yes
30,Male,"$50,000 to $74,999",British Columbia,College or certificate,Yes,Single,English only,Yes
59,Male,"$75,000 to $99,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes
54,Male,"$75,000 to $99,999",Ontario,Less than high school,No,Has a partner,English only,Yes
25,Male,"Less than $25,000",Ontario,Above bachelor,No,Single,English only,No
44,Female,"$125,000 and more",New Brunswick,Bachelor's degree,Yes,Has a partner,Both English and French,Yes
80,Female,"Less than $25,000",Alberta,Less than high school,Yes,Single,English only,No
78,Female,"$50,000 to $74,999",British Columbia,Less than high school,No,Single,English only,No
68,Female,"$25,000 to $49,999",Nova Scotia,College or certificate,Yes,Has a partner,Both English and French,No
